Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,
Institution_Name,,,,,,,,,,,,,,,
Institution_ID,mu-0000036,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,
Reporting_Period,2018-01-01 to 2018-05-31,,,,,,,,,,,,,,
Created,03-07-2018,,,,,,,,,,,,,,
Created_By,MPS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jan-18,Feb-18,Mar-18,Apr-18,May-18
RSC Advances,Royal Society of Chemistry,,rsc.org,10.1039/2046-2069/2011,,,2046-2069,,Unique_Item_Requests,83,0,0,0,33,50
Russian Chemical Reviews,Royal Society of Chemistry,,rsc.org,,,0036-021X,1468-4837,,Total_Item_Requests,4,0,0,0,4,0
Russian Chemical Reviews,Royal Society of Chemistry,,rsc.org,,,0036-021X,1468-4837,,Unique_Item_Requests,3,0,0,0,3,0
Reaction Chemistry & Engineering,Royal Society of Chemistry,,rsc.org,10.1039/2058-9883/2016,,,2058-9883,,Total_Item_Requests,4,0,0,0,3,1
Reaction Chemistry & Engineering,Royal Society of Chemistry,,rsc.org,10.1039/2058-9883/2016,,,2058-9883,,Unique_Item_Requests,4,0,0,0,3,1
Chemical Science,Royal Society of Chemistry,,rsc.org,10.1039/2041-6539/2010,,2041-6520,2041-6539,,Total_Item_Requests,30,0,0,0,15,15
Chemical Science,Royal Society of Chemistry,,rsc.org,10.1039/2041-6539/2010,,2041-6520,2041-6539,,Unique_Item_Requests,28,0,0,0,15,13
Sustainable Energy & Fuels,Royal Society of Chemistry,,rsc.org,10.1039/2398-4902/2017,,,2398-4902,,Total_Item_Requests,10,0,0,0,1,9
Sustainable Energy & Fuels,Royal Society of Chemistry,,rsc.org,10.1039/2398-4902/2017,,,2398-4902,,Unique_Item_Requests,10,0,0,0,1,9
Soft Matter,Royal Society of Chemistry,,rsc.org,10.1039/1744-6848/2005,,1744-683X,1744-6848,,Total_Item_Requests,13,0,0,0,7,6
Soft Matter,Royal Society of Chemistry,,rsc.org,10.1039/1744-6848/2005,,1744-683X,1744-6848,,Unique_Item_Requests,13,0,0,0,7,6
Journal of Materials Chemistry A,Royal Society of Chemistry,,rsc.org,10.1039/2050-7496/2013,,2050-7488,2050-7496,,Total_Item_Requests,75,0,0,0,41,34
Journal of Materials Chemistry A,Royal Society of Chemistry,,rsc.org,10.1039/2050-7496/2013,,2050-7488,2050-7496,,Unique_Item_Requests,66,0,0,0,37,29
Journal of Materials Chemistry B,Royal Society of Chemistry,,rsc.org,10.1039/2050-7518/2013,,2050-750X,2050-7518,,Total_Item_Requests,3,0,0,0,0,3
Journal of Materials Chemistry B,Royal Society of Chemistry,,rsc.org,10.1039/2050-7518/2013,,2050-750X,2050-7518,,Unique_Item_Requests,2,0,0,0,0,2
Journal of Materials Chemistry C,Royal Society of Chemistry,,rsc.org,10.1039/2050-7534/2013,,2050-7526,2050-7534,,Total_Item_Requests,7,0,0,0,5,2
Journal of Materials Chemistry C,Royal Society of Chemistry,,rsc.org,10.1039/2050-7534/2013,,2050-7526,2050-7534,,Unique_Item_Requests,6,0,0,0,4,2
Transactions of the Faraday Society,Royal Society of Chemistry,,rsc.org,,,,0014-7672,,Total_Item_Requests,16,0,0,0,12,4
Transactions of the Faraday Society,Royal Society of Chemistry,,rsc.org,,,,0014-7672,,Unique_Item_Requests,15,0,0,0,11,4
Toxicology Research,Royal Society of Chemistry,,rsc.org,10.1039/2045-4538/2012,,2045-452X,2045-4538,,Total_Item_Requests,4,0,0,0,0,4
Toxicology Research,Royal Society of Chemistry,,rsc.org,10.1039/2045-4538/2012,,2045-452X,2045-4538,,Unique_Item_Requests,1,0,0,0,0,1
