"Report_Name","Journal Usage by Access Type"
"Report_ID","TR_J3"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Method=Regular"
"Report_Attributes","Attributes_To_Show=Access_Type; "
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","Access_Type","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring)","Royal Society of Chemistry","","rsc.org","10.1039/2050-7895/2013","","2050-7887","2050-7895","","Controlled","Unique_Item_Investigations","1","0","0","0","0","1"
"Environmental Science: Processes & Impacts (previously Journal of Environmental Monitoring)","Royal Society of Chemistry","","rsc.org","10.1039/2050-7895/2013","","2050-7887","2050-7895","","Controlled","Unique_Item_Requests","1","0","0","0","0","1"
"Faraday Discussions","Royal Society of Chemistry","","rsc.org","10.1039/1364-5498/1991","","1359-6640","1364-5498","","Controlled","Total_Item_Investigations","17","0","0","0","9","8"
"Faraday Discussions","Royal Society of Chemistry","","rsc.org","10.1039/1364-5498/1991","","1359-6640","1364-5498","","Controlled","Total_Item_Requests","13","0","0","0","7","6"
"Faraday Discussions","Royal Society of Chemistry","","rsc.org","10.1039/1364-5498/1991","","1359-6640","1364-5498","","Controlled","Unique_Item_Investigations","13","0","0","0","6","7"
"Faraday Discussions","Royal Society of Chemistry","","rsc.org","10.1039/1364-5498/1991","","1359-6640","1364-5498","","Controlled","Unique_Item_Requests","11","0","0","0","5","6"
"Faraday Discussions of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0301-7249","","Controlled","Total_Item_Investigations","3","0","0","0","3","0"
"Faraday Discussions of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0301-7249","","Controlled","Total_Item_Requests","2","0","0","0","2","0"
"Faraday Discussions of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0301-7249","","Controlled","Unique_Item_Investigations","3","0","0","0","3","0"
"Faraday Discussions of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0301-7249","","Controlled","Unique_Item_Requests","2","0","0","0","2","0"
"Green Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1463-9270/1999","","1463-9262","1463-9270","","Controlled","Total_Item_Investigations","62","0","0","0","33","29"
"Green Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1463-9270/1999","","1463-9262","1463-9270","","Controlled","Total_Item_Requests","53","0","0","0","26","27"
"Green Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1463-9270/1999","","1463-9262","1463-9270","","Controlled","Unique_Item_Investigations","56","0","0","0","30","26"
"Green Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1463-9270/1999","","1463-9262","1463-9270","","Controlled","Unique_Item_Requests","48","0","0","0","24","24"
"Inorganic Chemistry Frontiers","Royal Society of Chemistry","","rsc.org","10.1039/2052-1553/2014","","","2052-1553","","Controlled","Total_Item_Investigations","5","0","0","0","4","1"
"Inorganic Chemistry Frontiers","Royal Society of Chemistry","","rsc.org","10.1039/2052-1553/2014","","","2052-1553","","Controlled","Total_Item_Requests","3","0","0","0","3","0"
"Inorganic Chemistry Frontiers","Royal Society of Chemistry","","rsc.org","10.1039/2052-1553/2014","","","2052-1553","","Controlled","Unique_Item_Investigations","5","0","0","0","4","1"
"Inorganic Chemistry Frontiers","Royal Society of Chemistry","","rsc.org","10.1039/2052-1553/2014","","","2052-1553","","Controlled","Unique_Item_Requests","3","0","0","0","3","0"
"Journal of Analytical Atomic Spectrometry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5544/1986","","0267-9477","1364-5544","","Controlled","Total_Item_Investigations","7","0","0","0","2","5"
"Journal of Analytical Atomic Spectrometry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5544/1986","","0267-9477","1364-5544","","Controlled","Total_Item_Requests","7","0","0","0","2","5"
"Journal of Analytical Atomic Spectrometry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5544/1986","","0267-9477","1364-5544","","Controlled","Unique_Item_Investigations","7","0","0","0","2","5"
"Journal of Analytical Atomic Spectrometry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5544/1986","","0267-9477","1364-5544","","Controlled","Unique_Item_Requests","7","0","0","0","2","5"
"Journal of Materials Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5501/1991","","0959-9428","1364-5501","","Controlled","Total_Item_Investigations","33","0","0","0","17","16"
"Journal of Materials Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5501/1991","","0959-9428","1364-5501","","Controlled","Total_Item_Requests","22","0","0","0","12","10"
"Journal of Materials Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5501/1991","","0959-9428","1364-5501","","Controlled","Unique_Item_Investigations","29","0","0","0","16","13"
"Journal of Materials Chemistry","Royal Society of Chemistry","","rsc.org","10.1039/1364-5501/1991","","0959-9428","1364-5501","","Controlled","Unique_Item_Requests","21","0","0","0","12","9"
