"Report_Name","Journal Requests by YOP  (Excluding OA_Gold)"
"Report_ID","TR_J4"
"Release","5"
"Institution_Name","Ohio State Univ Libraries"
"Institution_ID","000100077"
"Metric_Types","Total_Item_Requests; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","YOP","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15010J","","0022-1198","1556-4029","","2001","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15010J","","0022-1198","1556-4029","","2001","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15074J","","0022-1198","1556-4029","","2001","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15074J","","0022-1198","1556-4029","","2001","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15199J","","0022-1198","1556-4029","","2002","Total_Item_Requests","5","5","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15199J","","0022-1198","1556-4029","","2002","Unique_Item_Requests","4","4","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15203J","","0022-1198","1556-4029","","2002","Total_Item_Requests","2","0","2","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15203J","","0022-1198","1556-4029","","2002","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15302J","","0022-1198","1556-4029","","2002","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15302J","","0022-1198","1556-4029","","2002","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15518J","","0022-1198","1556-4029","","2002","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS15518J","","0022-1198","1556-4029","","2002","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS16139J","","0022-1198","1556-4029","","1998","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS16139J","","0022-1198","1556-4029","","1998","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2002034","","0022-1198","1556-4029","","2003","Total_Item_Requests","2","0","0","2","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2002034","","0022-1198","1556-4029","","2003","Unique_Item_Requests","2","0","0","2","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003104","","0022-1198","1556-4029","","2003","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003104","","0022-1198","1556-4029","","2003","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003219","","0022-1198","1556-4029","","2004","Total_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003219","","0022-1198","1556-4029","","2004","Unique_Item_Requests","1","0","0","0","0","1"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003254","","0022-1198","1556-4029","","2004","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003254","","0022-1198","1556-4029","","2004","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003378","","0022-1198","1556-4029","","2004","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2003378","","0022-1198","1556-4029","","2004","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004017","","0022-1198","1556-4029","","2005","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004017","","0022-1198","1556-4029","","2005","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004018","","0022-1198","1556-4029","","2004","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004018","","0022-1198","1556-4029","","2004","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004175","","0022-1198","1556-4029","","2004","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004175","","0022-1198","1556-4029","","2004","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004219","","0022-1198","1556-4029","","2005","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004219","","0022-1198","1556-4029","","2005","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004542","","0022-1198","1556-4029","","2005","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Forensic Sciences","","","astm.org","10.1520/JFS2004542","","0022-1198","1556-4029","","2005","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE10015J","","0090-3973","1945-7553","","1973","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE10015J","","0090-3973","1945-7553","","1973","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE102368","","0090-3973","1945-7553","","2009","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE102368","","0090-3973","1945-7553","","2009","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE102397","","0090-3973","1945-7553","","2010","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE102397","","0090-3973","1945-7553","","2010","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE102994","","0090-3973","1945-7553","","2010","Total_Item_Requests","1","0","1","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE102994","","0090-3973","1945-7553","","2010","Unique_Item_Requests","1","0","1","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE10666J","","0090-3973","1945-7553","","1977","Total_Item_Requests","2","1","1","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE10666J","","0090-3973","1945-7553","","1977","Unique_Item_Requests","2","1","1","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE11560J","","0090-3973","1945-7553","","1981","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE11560J","","0090-3973","1945-7553","","1981","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE11725J","","0090-3973","1945-7553","","1992","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE11725J","","0090-3973","1945-7553","","1992","Unique_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE11994J","","0090-3973","1945-7553","","1998","Total_Item_Requests","1","0","0","0","0","1"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE11994J","","0090-3973","1945-7553","","1998","Unique_Item_Requests","1","0","0","0","0","1"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12101J","","0090-3973","1945-7553","","2000","Total_Item_Requests","2","2","0","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12101J","","0090-3973","1945-7553","","2000","Unique_Item_Requests","2","2","0","0","0","0"
