"Report_Name"	"Journal Requests (Excluding OA_Gold)"
"Report_ID"	"TR_J1"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Requests; Unique_Item_Requests"
"Report_Filters"	"Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes"	""
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"Print_ISSN"	"Online_ISSN"	"URI"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Journal of the Chemical Society, Faraday Transactions 1"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0300-9599"	""	"Total_Item_Requests"	"15"	"0"	"0"	"0"	"0"	"0"	"15"
"Journal of the Chemical Society, Faraday Transactions 1"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0300-9599"	""	"Unique_Item_Requests"	"12"	"0"	"0"	"0"	"0"	"0"	"12"
"Journal of the Chemical Society, Faraday Transactions 2"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0300-9238"	""	"Total_Item_Requests"	"9"	"0"	"0"	"0"	"0"	"0"	"9"
"Journal of the Chemical Society, Faraday Transactions 2"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0300-9238"	""	"Unique_Item_Requests"	"9"	"0"	"0"	"0"	"0"	"0"	"9"
"Faraday Discussions"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5498/1991"	""	"1359-6640"	"1364-5498"	""	"Total_Item_Requests"	"127"	"0"	"0"	"0"	"0"	"0"	"127"
"Faraday Discussions"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5498/1991"	""	"1359-6640"	"1364-5498"	""	"Unique_Item_Requests"	"100"	"0"	"0"	"0"	"0"	"0"	"100"
"Food & Function"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2042-650X/2010"	""	"2042-6496"	"2042-650X"	""	"Total_Item_Requests"	"22"	"0"	"0"	"0"	"0"	"0"	"22"
"Food & Function"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2042-650X/2010"	""	"2042-6496"	"2042-650X"	""	"Unique_Item_Requests"	"16"	"0"	"0"	"0"	"0"	"0"	"16"
"Faraday Symposia of the Chemical Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0301-5696"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Faraday Symposia of the Chemical Society"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0301-5696"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of the Chemical Society, Faraday Transactions"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	"1364-5455"	"0956-5000"	""	"Total_Item_Requests"	"21"	"0"	"0"	"0"	"0"	"0"	"21"
"Journal of the Chemical Society, Faraday Transactions"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	"1364-5455"	"0956-5000"	""	"Unique_Item_Requests"	"17"	"0"	"0"	"0"	"0"	"0"	"17"
"Green Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1463-9270/1999"	""	"1463-9262"	"1463-9270"	""	"Total_Item_Requests"	"103"	"0"	"0"	"0"	"0"	"0"	"103"
"Green Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1463-9270/1999"	""	"1463-9262"	"1463-9270"	""	"Unique_Item_Requests"	"92"	"0"	"0"	"0"	"0"	"0"	"92"
"Integrative Biology"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1757-9708/2009"	""	"1757-9694"	"1757-9708"	""	"Total_Item_Requests"	"50"	"0"	"0"	"0"	"0"	"0"	"50"
